Name,Position,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Clean sheets,Goals Conceded,Own goals,Last man tackles,Clearances off line
Destiny Udogie,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Deniz Undav,Forward,22,5,0.23,0,2,3,0,0,27,12,44%,2,6,0,162,7.36,1,1,,,,2,0,15,7,7,,8,0,1,1,,,,,,,,,,,,,,,,,,,,
Harvey Vale,Midfielder,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Joel Valencia,Forward,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Yan Valery,Defender,1,0,,0,0,0,,,,,,0,,0,22,22.00,0,1,0%,0,0,0,0,0,0,0,0%,0,0,3,1,2,1,3,0,1,0,0,,,,,,,,,0,2,0,0,0
Donny van de Beek,Midfielder,7,0,0.00,0,0,0,0,0,2,0,0%,0,0,0,59,8.43,0,0,0%,0,0,0,0,4,1,0,0%,2,1,1,0,3,7,11,2,3,3,0,,,,,,,,,,,,,
Sepp van den Berg,Defender,0,0,,0,0,0,,,,,,0,,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0
Dani van den Heuvel,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Virgil van Dijk,Defender,32,3,,2,0,1,,,,,,0,,1,"2,581",80.66,1,1,0%,1,149,3,0,13,3,27,52%,7,31,135,61,168,130,57,2,98,35,2,,,,,,,,,11,36,0,0,1
Jan Paul van Hecke,Defender,8,0,,0,0,0,,,,,,0,,0,246,30.75,0,0,0%,0,6,2,0,7,0,8,75%,0,6,9,4,15,18,21,0,6,16,0,,,,,,,,,0,7,0,0,1
Mikki van Sas,Goalkeeper,0,0,,,,,,,,,,,,0,0,0.00,,,,,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Raphaël Varane,Defender,24,0,,0,0,0,,,,,,0,,0,"1,099",45.79,0,1,0%,2,54,1,0,12,2,24,38%,2,11,89,61,100,75,43,6,42,16,0,,,,,,,,,8,22,1,0,0
Jamie Vardy,Forward,37,3,0.08,0,2,1,0,0,28,15,54%,1,10,4,255,6.89,2,7,,,,1,0,21,29,9,,3,2,30,25,,,,,,,,,,,,,,,,,,,,
Joël Veltman,Defender,31,1,,0,0,0,,,,,,0,,1,"1,297",41.84,2,23,26%,1,47,6,0,27,0,62,52%,3,19,49,23,125,131,82,5,26,18,0,,,,,,,,,6,29,0,0,0
