Name,Position,Appearances,Clean sheets,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Shots,Shots on target,Shooting accuracy %,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Age,Season,Injury,Date of Injury,Date of return
Sead Kolasinac,Defender,26,3.0,29.0,55%,0.0,1.0,25.0,33.0,26.0,0.0,103.0,88.0,66.0,16.0,28.0,19.0,2,900,34.62,2.0,29.0,21%,0.0,21.0,4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Muscle strain,15-Jan-20,15-Feb-20
Sead Kolasinac,Defender,26,3.0,29.0,55%,0.0,1.0,25.0,33.0,26.0,0.0,103.0,88.0,66.0,16.0,28.0,19.0,2,900,34.62,2.0,29.0,21%,0.0,21.0,4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Ankle injury,16-Dec-19,30-Dec-19
Emil Krafth,Defender,17,2.0,18.0,67%,0.0,1.0,8.0,40.0,22.0,0.0,43.0,36.0,28.0,4.0,8.0,9.0,1,329,19.35,1.0,20.0,5%,0.0,10.0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Ankle injury,21-Jan-20,20-Jun-20
Emil Krafth,Defender,17,2.0,18.0,67%,0.0,1.0,8.0,40.0,22.0,0.0,43.0,36.0,28.0,4.0,8.0,9.0,1,329,19.35,1.0,20.0,5%,0.0,10.0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2019/20,Ankle injury,21-Jul-20,11-Sep-20
Alexandre Lacazette,Forward,30,0.0,31.0,0,0.0,8.0,7.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,505,16.83,4.0,15.0,0,0.0,0.0,8,0,44,10,1.0,8.0,1.0,1.0,0.33,0.0,52.0,26.0,50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2019/20,Ankle injury,2-Sep-19,20-Oct-19
Jamaal Lascelles,Defender,24,7.0,14.0,21%,0.0,2.0,28.0,115.0,68.0,1.0,128.0,109.0,82.0,4.0,74.0,49.0,0,847,35.29,0.0,0.0,0%,0.0,53.0,5,0,22,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2019/20,Knee injury,9-Nov-19,13-Jan-20
Aaron Lennon,Midfielder,16,0.0,14.0,57%,0.0,0.0,8.0,3.0,0.0,0.0,24.0,26.0,29.0,3.0,2.0,9.0,0,118,7.38,0.0,8.0,13%,0.0,2.0,4,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2019/20,ill,22-Dec-19,10-Jan-20
Bernd Leno,Goalkeeper,30,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,800,26.67,0.0,0.0,0,0.0,74.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113.0,1.0,17.0,17.0,11.0,15.0,185.0,253.0,28.0,2019/20,Ligament stretching,21-Jun-20,27-Aug-20
Jesse Lingard,Midfielder,22,0.0,15.0,53%,0.0,10.0,3.0,0.0,0.0,0.0,37.0,41.0,72.0,13.0,2.0,12.0,0,391,17.77,1.0,7.0,0%,4.0,4.0,3,0,28,1,0.0,0.0,1.0,0.0,0.05,0.0,22.0,6.0,27%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Ill,7-Sep-19,18-Sep-19
Jesse Lingard,Midfielder,22,0.0,15.0,53%,0.0,10.0,3.0,0.0,0.0,0.0,37.0,41.0,72.0,13.0,2.0,12.0,0,391,17.77,1.0,7.0,0%,4.0,4.0,3,0,28,1,0.0,0.0,1.0,0.0,0.05,0.0,22.0,6.0,27%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2019/20,Hamstring injury,4-Oct-19,23-Oct-19
